"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","current_url","subject","success","timeout","failed_images","failed_audio","failed_video","device_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":2436}]","2436","instructions","0","2438","0.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2263}]","2263","instructions","1","4702","0.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","","preload","2","4974","0.0-2.0","","","","{"""":""""}","https://test12345.live/","","true","false","[]","[]","[]","","",""
"","1391","fullscreen","3","7375","0.0-3.0","","","","{"""":""""}","https://test12345.live/","","true","","","","","","",""
"","","initialize-microphone","4","11261","0.0-4.0","","","","{"""":""""}","https://test12345.live/","","","","","","","709934c166d4839fd72b04ba1bc4fe362399d0f281a946509d98850522f0be41","",""
"[{""page_index"":0,""viewing_time"":736},{""page_index"":1,""viewing_time"":640}]","1377","instructions","5","12638","0.0-5.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","null","image-button-response","6","17142","0.0-6.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","null"
"","816","image-button-response","7","17959","0.0-6.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","1"
"","null","image-button-response","8","19766","0.0-6.0-2.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","9","24268","0.0-6.0-0.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","null"
"","690","image-button-response","10","24958","0.0-6.0-1.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","1"
"","null","image-button-response","11","26761","0.0-6.0-2.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","12","31265","0.0-6.0-0.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","null"
"","1044","image-button-response","13","32310","0.0-6.0-1.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","1"
"","null","image-button-response","14","34115","0.0-6.0-2.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","15","38616","0.0-6.0-0.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","null"
"","949","image-button-response","16","39566","0.0-6.0-1.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","1"
"","null","image-button-response","17","41371","0.0-6.0-2.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","8295","survey-text","18","49670","0.0-7.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}"
"[{""page_index"":0,""viewing_time"":1063}]","1063","instructions","19","50734","0.0-8.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","848","survey-text","20","51583","0.0-9.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":""""}"
