"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","view_history","rt","stimulus","response","choice","question_order"
"true","false","[]","[]","[]","preload","0","1927","0.0-0.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","","","","",""
"","","","","","instructions","1","3160","0.0-1.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","[{""page_index"":0,""viewing_time"":1232}]","1232","","","",""
"","","","","","instructions","2","29623","0.0-2.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","[{""page_index"":0,""viewing_time"":26462}]","26462","","","",""
"true","","","","","fullscreen","3","33211","0.0-3.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","2583","","","",""
"","","","","","instructions","4","41389","0.0-4.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","[{""page_index"":0,""viewing_time"":8177}]","8177","","","",""
"","","","","","html-button-response","5","46377","0.0-5.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","4987","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","0","0",""
"","","","","","html-keyboard-response","6","49380","0.0-6.0-0.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_2/causal_series_2_a.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","7","52383","0.0-6.0-1.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_2/causal_series_2_b.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","8","55386","0.0-6.0-2.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_2/causal_series_2_c.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","9","58389","0.0-6.0-3.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_2/causal_series_2_d.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-button-response","10","63017","0.0-8.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","4627","Was there a person in the picture?","0","",""
"","","","","","survey-likert","11","66903","0.0-9.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","3883","","{""Q0"":2}","","[0]"
"","","","","","html-button-response","12","69468","0.0-10.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","2564","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","0","0",""
"","","","","","html-keyboard-response","13","72470","0.0-11.0-0.0","8B6AB1EB04274208B2188E31FB13D10E","8B6AB1EB04274208B2188E31FB13D10E","5a7b58b4-4017-447a-9ad2-d2bb922e9b1f","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""8B6AB1EB04274208B2188E31FB13D10E"",""assignmentId"":""5a7b58b4-4017-447a-9ad2-d2bb922e9b1f"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=8B6AB1EB04274208B2188E31FB13D10E&assignmentId=5a7b58b4-4017-447a-9ad2-d2bb922e9b1f&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_6/causal_series_6_a.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
