"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice"
"true","false","[]","[]","[]","preload","0","5932","0.0-0.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","","","",""
"","","","","","instructions","1","11852","0.0-1.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","[{""page_index"":0,""viewing_time"":5918}]","5919","","",""
"","","","","","instructions","2","15550","0.0-2.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","[{""page_index"":0,""viewing_time"":3698}]","3698","","",""
"true","","","","","fullscreen","3","19201","0.0-3.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","2634","","",""
"","","","","","instructions","4","76592","0.0-4.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","[{""page_index"":0,""viewing_time"":57391}]","57391","","",""
"","","","","","html-keyboard-response","5","79597","0.0-5.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_1/causal_series_1_a.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","6","82612","0.0-6.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_1/causal_series_1_b.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","7","85626","0.0-7.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_1/causal_series_1_c.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-button-response","8","89387","0.0-8.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","3760","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","0","0"
"","","","","","html-keyboard-response","9","92394","0.0-9.0-0.0-0.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_1/causal_series_1_d.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","10","95405","0.0-10.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/other/blank.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","11","98419","0.0-11.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_13/causal_series_13_a.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","12","101426","0.0-12.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_13/causal_series_13_b.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","13","104431","0.0-13.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_13/causal_series_13_c.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-button-response","14","105318","0.0-14.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","887","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","1","1"
"","","","","","html-keyboard-response","15","108329","0.0-15.0-1.0-0.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/semantic/semantic_series_12/semantic_series_12_d.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","16","111331","0.0-16.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/other/blank.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","17","114332","0.0-17.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_5/causal_series_5_a.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","18","117334","0.0-18.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_5/causal_series_5_b.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","19","120341","0.0-19.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_5/causal_series_5_c.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-button-response","20","121742","0.0-20.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","1400","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","1","1"
"","","","","","html-keyboard-response","21","124750","0.0-21.0-1.0-0.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/semantic/semantic_series_4/semantic_series_4_d.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","22","127753","0.0-22.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/other/blank.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
"","","","","","html-keyboard-response","23","130768","0.0-23.0","9A86A88B229145CA9943EAA00F48703F","7a1ceed3-d152-4367-9455-9a05601054e4","7c9f784d-5202-4c36-a6e2-1fcf7bf41701","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                <img src=""images/causal/causal_series_12/causal_series_12_a.jpg"" style=""width: 300px; height: 300px;"" />
              </div>","null",""
