"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","view_history","rt","stimulus","response","choice","question_order"
"true","false","[]","[]","[]","preload","0","940","0.0-0.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","","","","",""
"","","","","","instructions","1","3970","0.0-1.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","[{""page_index"":0,""viewing_time"":3029}]","3029","","","",""
"","","","","","instructions","2","12459","0.0-2.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","[{""page_index"":0,""viewing_time"":8488}]","8488","","","",""
"true","","","","","fullscreen","3","14598","0.0-3.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","1136","","","",""
"","","","","","instructions","4","20855","0.0-4.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","[{""page_index"":0,""viewing_time"":6256}]","6256","","","",""
"","","","","","html-button-response","5","25765","0.0-5.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","4908","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","0","0",""
"","","","","","html-keyboard-response","6","28767","0.0-6.0-0.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_6/causal_series_6_a.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","7","31771","0.0-6.0-1.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_6/causal_series_6_b.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","8","34773","0.0-6.0-2.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_6/causal_series_6_c.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","9","37776","0.0-6.0-3.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_6/causal_series_6_d.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-button-response","10","44913","0.0-8.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","7135","Was there a person in the picture?","0","",""
"","","","","","survey-likert","11","48807","0.0-9.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","3893","","{""Q0"":3}","","[0]"
"","","","","","html-button-response","12","51207","0.0-10.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","2399","
    <div style=""display: flex; justify-content: center; align-items: center;"">
      <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
      <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
    </div>","0","0",""
"","","","","","html-keyboard-response","13","54209","0.0-11.0-0.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_17/causal_series_17_a.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","14","57212","0.0-11.0-1.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_17/causal_series_17_b.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","15","60215","0.0-11.0-2.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_17/causal_series_17_c.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
"","","","","","html-keyboard-response","16","63217","0.0-11.0-3.0","98CEBB245CC64B34B95712FED358D4C0","98CEBB245CC64B34B95712FED358D4C0","7168685f-234f-4d3c-b3b9-b88faf06ed64","e622c465-ee29-4445-8260-1f3431e06587","{""participantId"":""98CEBB245CC64B34B95712FED358D4C0"",""assignmentId"":""7168685f-234f-4d3c-b3b9-b88faf06ed64"",""projectId"":""e622c465-ee29-4445-8260-1f3431e06587""}","https://test12345.live/?participantId=98CEBB245CC64B34B95712FED358D4C0&assignmentId=7168685f-234f-4d3c-b3b9-b88faf06ed64&projectId=e622c465-ee29-4445-8260-1f3431e06587","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                    <img src=""images/causal/causal_series_17/causal_series_17_d.jpg"" style=""width: 300px; height: 300px;"" />
                  </div>","null","",""
