success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,subject_id,study_id,session_id,urlvar,current_url,selected_option,audio_id,view_history,rt,device_id,stimulus,response,estimated_stimulus_onset
TRUE,FALSE,[],[],[],preload,0,2224,0.0-0.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,1,10886,0.0-1.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,"[{""page_index"":0,""viewing_time"":8662}]",8662,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,13797,0.0-2.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,"[{""page_index"":0,""viewing_time"":2910}]",2911,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,3,24977,0.0-3.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,NA,10173,NA,NA,NA,NA
NA,NA,NA,NA,NA,initialize-microphone,4,27608,0.0-4.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,NA,NA,655a95248e9a0ef3d9ed3edf43073769791ef893347dd5e6c95b135936f3ea4c,NA,NA,NA
NA,NA,NA,NA,NA,instructions,5,39255,0.0-5.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,"[{""page_index"":0,""viewing_time"":1386},{""page_index"":1,""viewing_time"":3405},{""page_index"":2,""viewing_time"":6856}]",11648,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-button-response,6,44264,0.0-6.0,2B21B7636CAD4FE3B5E616714E830F53,2B21B7636CAD4FE3B5E616714E830F53,8570d58f-8d45-49d6-8b66-375d523008d8,7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"{""participantId"":""2B21B7636CAD4FE3B5E616714E830F53"",""assignmentId"":""8570d58f-8d45-49d6-8b66-375d523008d8"",""projectId"":""7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929""}",https://test12345.live/?participantId=2B21B7636CAD4FE3B5E616714E830F53&assignmentId=8570d58f-8d45-49d6-8b66-375d523008d8&projectId=7ae1d1e4-58c1-4b1a-9eee-4312c3ce6929,"[{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",2B21B7636CAD4FE3B5E616714E830F53-2024-07-21-20-33-48,NA,null,NA,images/instructions/movie_0.png,null,NA
