success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,subject_id,study_id,session_id,urlvar,current_url,selected_option,audio_id,view_history,rt,device_id,stimulus,response,estimated_stimulus_onset
TRUE,FALSE,[],[],[],preload,0,70390,0.0-0.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,1,89724,0.0-1.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,"[{""page_index"":0,""viewing_time"":19332}]",19333,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,96228,0.0-2.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,"[{""page_index"":0,""viewing_time"":6503}]",6504,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,3,99406,0.0-3.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,NA,2164,NA,NA,NA,NA
NA,NA,NA,NA,NA,initialize-microphone,4,114298,0.0-4.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,NA,NA,200e1bbd2d6895c46bd0ee1ca959cf552b822e29dbebb668bc7cc942df72c7f7,NA,NA,NA
NA,NA,NA,NA,NA,instructions,5,122195,0.0-5.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,"[{""page_index"":0,""viewing_time"":1272},{""page_index"":1,""viewing_time"":3108},{""page_index"":2,""viewing_time"":3515}]",7896,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-button-response,6,127206,0.0-6.0,9895FF15E83E4491A5FDDE1D8E421ACA,9895FF15E83E4491A5FDDE1D8E421ACA,86d6a24e-1eb4-44af-a597-f2a1d62168b1,8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"{""participantId"":""9895FF15E83E4491A5FDDE1D8E421ACA"",""assignmentId"":""86d6a24e-1eb4-44af-a597-f2a1d62168b1"",""projectId"":""8bf6df8b-65cd-48e9-a0be-8f7d173ccf15""}",https://test12345.live/?participantId=9895FF15E83E4491A5FDDE1D8E421ACA&assignmentId=86d6a24e-1eb4-44af-a597-f2a1d62168b1&projectId=8bf6df8b-65cd-48e9-a0be-8f7d173ccf15,"[{""stimulus"":""images/celebs/timeline_b/0_celebs_b.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/celebs/timeline_a/0_celebs_a.png"",""choices"":[],""prompt"":"""",""stimulus_width"":""600"",""stimulus_height"":""600"",""trial_duration"":""5000""},{""stimulus"":""images/schemes/flight_scheme/flight_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/schemes/restaurant_scheme/restaurant_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/paris_story/paris_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""},{""stimulus"":""images/stories/market_story/market_story_0.png"",""stimulus_width"":""600"",""stimulus_height"":""600"",""choices"":[],""prompt"":"""",""trial_duration"":""5000""}]",9895FF15E83E4491A5FDDE1D8E421ACA-2024-07-23-02-08-44,NA,null,NA,images/instructions/movie_0.png,null,NA
