"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","3331","0.0-0.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","","","","","",""
"true","","","","","fullscreen","1","7930","0.0-1.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","3585","","","","",""
"","","","","","initialize-microphone","2","19504","0.0-2.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","","12cb495c6ca7400cd69ed7fc4624e5a1e44636e56915e8482c7d3c2a31eb6653","","","",""
"","","","","","instructions","3","32782","0.0-3.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","13277","","[{""page_index"":0,""viewing_time"":1944},{""page_index"":1,""viewing_time"":11332}]","","",""
"","","","","","image-button-response","4","37290","0.0-4.0-0.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","images/schemes/movie_scheme/movie_1.png","null",""
"","","","","","image-button-response","5","40009","0.0-4.0-1.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","images/schemes/movie_scheme/movie_1.png","null",""
"","","","","","image-button-response","6","41835","0.0-4.0-2.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","[]","null",""
"","","","","","image-button-response","7","46369","0.0-4.0-0.1","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","images/schemes/movie_scheme/movie_2.png","null",""
"","","","","","image-button-response","8","47756","0.0-4.0-1.1","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","1384","","","images/schemes/movie_scheme/movie_2.png","0",""
"","","","","","image-button-response","9","49564","0.0-4.0-2.1","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","[]","null",""
"","","","","","image-button-response","10","54082","0.0-4.0-0.2","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","images/schemes/movie_scheme/movie_3.png","null",""
"","","","","","image-button-response","11","55852","0.0-4.0-1.2","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","1767","","","images/schemes/movie_scheme/movie_3.png","0",""
"","","","","","image-button-response","12","57664","0.0-4.0-2.2","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","[]","null",""
"","","","","","image-button-response","13","62186","0.0-4.0-0.3","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","images/schemes/movie_scheme/movie_4.png","null",""
"","","","","","image-button-response","14","63508","0.0-4.0-1.3","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","1319","","","images/schemes/movie_scheme/movie_4.png","0",""
"","","","","","image-button-response","15","65316","0.0-4.0-2.3","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","null","","","[]","null",""
"","","","","","instructions","16","77979","0.0-5.0","tgfhnfk6w27jpwn","tgfhnfk6w27jpwn-2024-02-16-03-53-21","12663","","[{""page_index"":0,""viewing_time"":10959},{""page_index"":1,""viewing_time"":1703}]","","",""
