"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","1548","0.0-0.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","","","","","",""
"true","","","","","fullscreen","1","4565","0.0-1.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","2012","","","","",""
"","","","","","initialize-microphone","2","8616","0.0-2.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","","f8432079c47e3cf269c50edb527cf21b0826b667f522d8eed69421a95bcf84d1","","","",""
"","","","","","instructions","3","14585","0.0-3.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","5969","","[{""page_index"":0,""viewing_time"":1450},{""page_index"":1,""viewing_time"":4518}]","","",""
"","","","","","image-button-response","4","19089","0.0-4.0-0.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","images/instructions/movie_1.png","null",""
"","","","","","image-button-response","5","20991","0.0-4.0-1.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","1901","","","images/instructions/movie_1.png","1",""
"","","","","","image-button-response","6","22796","0.0-4.0-2.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","[]","null",""
"","","","","","image-button-response","7","27298","0.0-4.0-0.1","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","images/instructions/movie_2.png","null",""
"","","","","","image-button-response","8","29291","0.0-4.0-1.1","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","1993","","","images/instructions/movie_2.png","0",""
"","","","","","image-button-response","9","31094","0.0-4.0-2.1","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","[]","null",""
"","","","","","image-button-response","10","35596","0.0-4.0-0.2","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","images/instructions/movie_3.png","null",""
"","","","","","image-button-response","11","36373","0.0-4.0-1.2","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","776","","","images/instructions/movie_3.png","0",""
"","","","","","image-button-response","12","38179","0.0-4.0-2.2","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","[]","null",""
"","","","","","image-button-response","13","42684","0.0-4.0-0.3","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","images/instructions/movie_4.png","null",""
"","","","","","image-button-response","14","43489","0.0-4.0-1.3","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","805","","","images/instructions/movie_4.png","0",""
"","","","","","image-button-response","15","45295","0.0-4.0-2.3","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","null","","","[]","null",""
"","","","","","instructions","16","57533","0.0-5.0","pb58yo8lp2vgb6s","pb58yo8lp2vgb6s-2024-03-20-17-17-42","12238","","[{""page_index"":0,""viewing_time"":11314},{""page_index"":1,""viewing_time"":924}]","","",""
