"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","8971","0.0-0.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","","","","","",""
"true","","","","","fullscreen","1","12805","0.0-1.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","2822","","","","",""
"","","","","","initialize-microphone","2","30473","0.0-2.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","","14665c2f10575c4a8b4bd6d2db475ebd5886874a26938a114fa9258fdb3207be","","","",""
"","","","","","instructions","3","42042","0.0-3.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","11569","","[{""page_index"":0,""viewing_time"":5729},{""page_index"":1,""viewing_time"":5840}]","","",""
"","","","","","image-button-response","4","46544","0.0-4.0-0.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","null","","","images/instructions/movie_1.png","null",""
"","","","","","image-button-response","5","49246","0.0-4.0-1.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","null","","","images/instructions/movie_1.png","null",""
"","","","","","image-button-response","6","51048","0.0-4.0-2.0","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","null","","","[]","null",""
"","","","","","image-button-response","7","55550","0.0-4.0-0.1","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","null","","","images/instructions/movie_2.png","null",""
"","","","","","image-button-response","8","56418","0.0-4.0-1.1","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","867","","","images/instructions/movie_2.png","0",""
"","","","","","image-button-response","9","58220","0.0-4.0-2.1","k28l9fr0ahc66pp","k28l9fr0ahc66pp-2024-03-21-13-56-03","null","","","[]","null",""
